Paise              | score=0.9637
Pachera            | score=1.0076
Tsuguri            | score=1.0075
Linia              | score=0.9636
İsato              | score=0.9888
Fumis              | score=0.9965
Bamalu             | score=1.0220
Korari             | score=1.0219
Alana              | score=0.9966
Seshid             | score=0.9617
Shalia             | score=0.9557
Seltriz            | score=0.8437
Kono               | score=0.9710
Shirako            | score=1.0065
Shiizuh            | score=0.9746
Mikabur            | score=1.0404
Diotoka            | score=1.0076
Nabuila            | score=1.0077
Syou               | score=0.8784
Carstyn            | score=0.8437
Zyln               | score=0.9114
Kanagu             | score=1.0216
Oo                 | score=0.8608
Takanom            | score=1.0400
Narueha            | score=1.0076
Kozuki             | score=1.0217
Chishiz            | score=0.9196
Konako             | score=1.0217
Himemo             | score=1.0216
Garcomi            | score=1.0077
Rionne             | score=0.9559
Wilce              | score=0.9527
Shy                | score=0.9131
Mille              | score=0.9633
Alib               | score=0.9714
Onowa              | score=0.9856
Lyru               | score=0.9714
Vaily              | score=0.9637
Maikura            | score=1.0071
Samiria            | score=1.0075
Mizaka             | score=1.0218
Tevura             | score=1.0220
Tokolis            | score=1.0406
Takutou            | score=1.0076
Alneth             | score=0.9290
Himinon            | score=1.0405
Lyasan             | score=0.9889
Motori             | score=1.0212
İna                | score=0.9384
Caltore            | score=1.0077
Rungina            | score=1.0077
Chiru              | score=0.9634
Tsukira            | score=1.0067
Vyn                | score=0.9461
Ardinne            | score=0.9746
Olla               | score=0.9384
Cin                | score=0.9461
Miyuko             | score=0.9289
Sespela            | score=1.0077
Lume               | score=0.9714
Ayakume            | score=0.9205
İzashi             | score=0.9738
Magara             | score=1.0218
Nishita            | score=1.0063
Mulia              | score=0.9636
Yazuki             | score=0.9616
Tankoda            | score=1.0076
Lula               | score=0.9714
Sakitak            | score=1.0401
Hamders            | score=0.9207
Sarael             | score=0.9886
Loza               | score=0.9714
Leda               | score=0.9714
Mura               | score=0.9698
Yoshaa             | score=0.8957
Lumy               | score=0.9714
Quanic             | score=0.9779
Sayashi            | score=0.9404
Kayana             | score=0.9285
Takamar            | score=1.0398
Kurura             | score=1.0218
Maol               | score=0.9384
Brino              | score=0.9637
Kefi               | score=0.9714
Razan              | score=0.9966
Saora              | score=0.9637
Ulianad            | score=1.0074
Asulath            | score=1.0077
Miishir            | score=0.9732
Rissa              | score=0.9634
Meiri              | score=0.9637
Kawaphi            | score=0.9961
Rishida            | score=1.0066
Kiligam            | score=1.0407
Shimiyo            | score=0.9409
Moriyo             | score=0.9284
Mizana             | score=1.0219
Miga               | score=0.9714
Himaku             | score=1.0214
Maiph              | score=0.9307
Tawatak            | score=1.0296
Shaleal            | score=0.9746
Mahaka             | score=1.0220
Memika             | score=1.0215
Tamara             | score=1.0215
Tobaru             | score=1.0219
Hamabuw            | score=1.0295
Medoru             | score=1.0220
Fun                | score=0.9461
Banimet            | score=1.0407
Raiji              | score=0.9637
Chiryuu            | score=0.9414
Shiyuko            | score=0.9416
Homoto             | score=1.0215
Rikawa             | score=1.0098
Chiiro             | score=0.9560
Earath             | score=0.9560
Kadaru             | score=1.0219
Kodaga             | score=1.0219
Agino              | score=0.9966
Hinagig            | score=1.0402
Kionu              | score=0.9637
Canaka             | score=1.0211
Kanore             | score=1.0218
Yting              | score=0.9636
Mamiwa             | score=1.0108
Ouneko             | score=0.9618
Blaber             | score=0.9620
Kashira            | score=1.0055
Line               | score=0.9711
Alia               | score=0.9110
Bitro              | score=0.9637
Kgane              | score=0.9636
Fuera              | score=0.9637
Surichy            | score=1.0076
Aira               | score=0.9112
Laia               | score=0.8784
Jachina            | score=1.0069
Huruki             | score=1.0219
Junou              | score=0.9637
Heth               | score=0.9114
Prapa              | score=0.9637
Mashino            | score=1.0058
Terlicl            | score=0.9207
İnya               | score=0.9037
Kamibur            | score=1.0403
Managi             | score=1.0214
Outines            | score=1.0077
Mokosab            | score=1.0406
Yuminus            | score=1.0075
Atako              | score=0.9966
Wort               | score=0.9003
Jinata             | score=1.0218
Enciy              | score=0.9307
Scala              | score=0.9637
Nakabam            | score=1.0402
Kanebet            | score=1.0406
Shirugy            | score=1.0070
Sabura             | score=1.0220
Milled             | score=0.9618
Laisbaw            | score=0.9637
Olta               | score=0.9384
Ceriyng            | score=0.9747
Liadra             | score=0.9560
Selaysc            | score=0.9747
Oobayak            | score=0.8875
Alira              | score=0.9965
Yan                | score=0.9131
Masseri            | score=1.0077
Honon              | score=0.9966
Kiri               | score=0.9707
Kakuyou            | score=0.8875
Junge              | score=0.9637
Stlidre            | score=0.8107
Nangai             | score=0.9560
Fenor              | score=0.9967
İnagiri            | score=1.0261
Baledda            | score=1.0077
Pora               | score=0.9714
Hasaku             | score=1.0213
Kuhari             | score=1.0219
Takkan             | score=0.9620
Kayamo             | score=0.9286
Alteron            | score=1.0075
Uevan              | score=0.9636
Hona               | score=0.9714
Fuverha            | score=1.0077
Teron              | score=0.9966
Shinast            | score=0.9198
Parhyta            | score=1.0077
Hisosaw            | score=1.0297
Shurako            | score=1.0075
Darfayk            | score=0.9747
Kayuki             | score=0.9285
Nayume             | score=0.9288
Murine             | score=1.0218
Dasmako            | score=1.0077
Buemel             | score=0.9890
Nitra              | score=0.9637
Terura             | score=1.0219
Waeta              | score=0.9527
Furiyab            | score=0.9745
Kanayu             | score=0.9287
İshiba             | score=0.9745
Washiki            | score=0.9954
Mosono             | score=1.0218
Kanty              | score=0.9637
Stello             | score=0.9288
Tono               | score=0.9713
Cara               | score=0.9713
Sulle              | score=0.9637
Moni               | score=0.9714
Lany               | score=0.9714
Era                | score=0.9461
Wistra             | score=0.8409
Dana               | score=0.9714
Rokaki             | score=1.0219
Kanizak            | score=1.0406
Pardya             | score=0.9560
Kuntu              | score=0.9637
Shizute            | score=1.0073
Rao                | score=0.9131
Ulon               | score=0.9714
Note               | score=0.9714
Sakilik            | score=1.0403
Hasuko             | score=1.0216
Yuura              | score=0.8767
Ccioba             | score=0.9560
Eljine             | score=0.9890
Kurumik            | score=1.0403
Marakat            | score=1.0404
Vyr                | score=0.9461
Saishim            | score=0.9733
Tabasak            | score=1.0403
Yaname             | score=0.9616
Nama               | score=0.9713
Miriona            | score=1.0075
Dalon              | score=0.9967
Maitats            | score=0.9746
Kononoz            | score=1.0405
Shimako            | score=1.0066
Thira              | score=0.9627
Rushiny            | score=1.0068
Amare              | score=0.9964
Sorishi            | score=1.0068
Chachar            | score=0.9205
Kayara             | score=0.9288
Diarcas            | score=0.9747
Kachino            | score=1.0068
Vast               | score=0.9114
Minone             | score=1.0218
Durese             | score=1.0220
Sakadar            | score=1.0402
Eethera            | score=0.9745
Marna              | score=0.9637
Airyn              | score=0.9637
Somicen            | score=1.0407
Maliria            | score=1.0076
Hinakab            | score=1.0398
Apara              | score=0.9967
Bpuyn              | score=0.9307
Evennia            | score=0.9746
Manazer            | score=1.0405
İshimar            | score=0.9926
Kanaka             | score=1.0209
Calanny            | score=1.0077
Rinza              | score=0.9637
Uspalia            | score=0.9746
Nima               | score=0.9714
Arha               | score=0.9384
Yukla              | score=0.9307
Edra               | score=0.9384
Muin               | score=0.9384
Erunica            | score=1.0406
Mashi              | score=0.9617
Yron               | score=0.9714
Mabuke             | score=1.0219
Flaria             | score=0.9555
Ukana              | score=0.9962
Hibasho            | score=1.0075
Famina             | score=1.0215
Haeshi             | score=0.9559
Kanoke             | score=1.0218
Mamimi             | score=1.0218
Velelia            | score=1.0075
Karisak            | score=1.0400
Yeze               | score=0.9114
Hahasak            | score=1.0404
Miska              | score=0.9637
Kisha              | score=0.9632
Minajan            | score=1.0404
Nitsumi            | score=1.0068
Tamari             | score=1.0211
Gem                | score=0.9461
Tsukamu            | score=1.0068
Naralia            | score=1.0074
Youka              | score=0.8762
Mishino            | score=1.0060
Shiurak            | score=0.9745
Chiyano            | score=0.9415
Nothgr             | score=0.7210
Liriem             | score=0.9889
Yazani             | score=0.9619
Bruna              | score=0.9635
Viarla             | score=0.9560
Futuse             | score=1.0220
Nomachi            | score=1.0071
Etsumi             | score=0.9880
Muria              | score=0.9636
Salhert            | score=0.9207
Telber             | score=0.9619
Fumisat            | score=1.0404
Selis              | score=0.9965
Sanabur            | score=1.0405
Kolwina            | score=0.9967
Rokawa             | score=1.0101
Mathise            | score=1.0076
Salile             | score=1.0219
Luda               | score=0.9714
Sharia             | score=0.9554
Anakai             | score=0.9611
Minosu             | score=1.0218
İsaneba            | score=1.0264
Abyni              | score=0.9967
Lmora              | score=0.9637
Kiryal             | score=0.9890
Dandnas            | score=0.8437
İshipor            | score=0.9934
Canis              | score=0.9966
Caros              | score=0.9966
Takanag            | score=1.0399
Mayori             | score=0.9288
Maku               | score=0.9714
Kayako             | score=0.9287
Amaki              | score=0.9959
Lirica             | score=1.0219
Tomiya             | score=0.9276
Tuzuka             | score=1.0217
Vila               | score=0.9714
Cirira             | score=1.0220
Layda              | score=0.9637
Mimii              | score=0.9636
Nokomik            | score=1.0405
Kaauta             | score=0.9290
Hendotv            | score=0.9206
Monona             | score=1.0220
Anana              | score=0.9963
Yurimi             | score=0.9617
Morg               | score=0.9114
Akikami            | score=1.0402
İyu                | score=0.8844
Hinibak            | score=1.0407
Hikuniy            | score=1.0075
Cardend            | score=0.9206
Giikhi             | score=0.9560
İchishi            | score=0.9596
Onoda              | score=0.9966
Vilillo            | score=1.0077
Shinoha            | score=1.0066
Bane               | score=0.9714
Kakahar            | score=1.0405
Kinami             | score=1.0213
Erem               | score=0.9714
Evoria             | score=0.9619
İlinge             | score=0.9746
Matsue             | score=0.9544
Sakara             | score=1.0213
Ghalmar            | score=0.9206
Chikayo            | score=0.9411
Takarug            | score=1.0402
Lartar             | score=0.9620
Beyno              | score=0.9637
Mikaya             | score=0.9285
Tamadek            | score=1.0404
Sakarad            | score=1.0401
Takuzuk            | score=1.0405
Shawas             | score=0.9509
Urano              | score=0.9964
Liman              | score=0.9966
Kacrino            | score=1.0077
Stoliml            | score=0.9207
Brin               | score=0.9114
Shiremi            | score=1.0070
Tamani             | score=1.0216
Ely                | score=0.9461
Mokau              | score=0.9637
Nani               | score=0.9714
Manori             | score=1.0218
Vecpla             | score=0.8520
Tsuzuki            | score=1.0071
Mawasab            | score=1.0296
Sukoshi            | score=1.0070
Migiya             | score=0.9289
Sakoe              | score=0.9635
Hakura             | score=1.0208
Vollit             | score=0.9620
Thiro              | score=0.9627
Kishira            | score=1.0056
Shigaki            | score=1.0073
Aruka              | score=0.9963
Suranko            | score=1.0075
Mikyou             | score=0.9288
Aminats            | score=1.0071
Kani               | score=0.9713
Lystres            | score=0.8436
Kafucak            | score=1.0407
Sakuro             | score=1.0208
Kiro               | score=0.9714
Sumemi             | score=1.0218
Hakapak            | score=1.0407
Hisasti            | score=1.0075
Tyennya            | score=0.9417
Mijooo             | score=0.9290
Tiall              | score=0.9307
Mizuwam            | score=1.0295
Katsumi            | score=1.0061
Yumihar            | score=1.0072
Kumunt             | score=0.9620
Marano             | score=1.0217
İshika             | score=0.9742
Zermeth            | score=0.9207
Hamechi            | score=1.0077
Saete              | score=0.9637
Arina              | score=0.9961
Touga              | score=0.9635
Cile               | score=0.9713
İnabura            | score=1.0264
Natsuda            | score=1.0066
Mogui              | score=0.9637
Ailet              | score=0.9637
Cala               | score=0.9713
Molial             | score=0.9889
Makamii            | score=1.0070
Yenju              | score=0.9307
Morika             | score=1.0211
Yurimio            | score=0.9205
Arane              | score=0.9966
Wagura             | score=1.0108
Golten             | score=0.9620
Sefalit            | score=1.0406
Matsuu             | score=0.9544
Yumyu              | score=0.8767
Menma              | score=0.9637
Migura             | score=1.0218
İshen              | score=0.9559
Sele               | score=0.9711
Saleeli            | score=1.0077
Rizumi             | score=1.0217
Hikaya             | score=0.9285
Caryn              | score=0.9967
Tsumish            | score=0.9200
Tsujiko            | score=1.0076
Yuburo             | score=0.9620
Foria              | score=0.9636
İstes              | score=0.9560
Qidna              | score=0.9527
Waruo              | score=0.9527
Ariwtro            | score=0.8867
Brison             | score=0.9620
Hashika            | score=1.0062
Tokiyam            | score=0.9743
Srole              | score=0.9637
Anderia            | score=0.9743
Sadara             | score=1.0218
Tanamit            | score=1.0402
İtakato            | score=1.0260
Lucheir            | score=0.9747
Kiriham            | score=1.0405
Satata             | score=1.0219
İnie               | score=0.9037
Atsukay            | score=0.9730
Wiara              | score=0.9526
Asae               | score=0.9113
Nishich            | score=0.9196
Bisakar            | score=1.0400
To                 | score=0.9208
Cironte            | score=1.0077
Miuryu             | score=0.9289
Rinna              | score=0.9636
Tarisak            | score=1.0400
Sayuko             | score=0.9287
Berena             | score=1.0217
Tsuruso            | score=1.0074
Cariely            | score=1.0068
Tokami             | score=1.0214
Saili              | score=0.9637
Xifleyp            | score=0.9637
Cenebia            | score=1.0077
Hasakuk            | score=1.0402
Tamare             | score=1.0215
Nayamar            | score=0.9738
Kizaki             | score=1.0215
Yukiya             | score=0.8415
Chisao             | score=0.9557
Kabihal            | score=1.0407
Komizug            | score=1.0403
Volicur            | score=1.0407
Andalic            | score=1.0075
Noshiko            | score=1.0068
Nisaka             | score=1.0211
Lilile             | score=1.0218
Telana             | score=1.0219
Himasa             | score=1.0213
Pmartte            | score=0.8107
Saelina            | score=1.0074
Liwing             | score=0.9510
Corol              | score=0.9967
Himima             | score=1.0218
Caranat            | score=1.0405
Narue              | score=0.9635
İbumi              | score=0.9890
Noshima            | score=1.0061
Tsukae             | score=0.9549
Kurune             | score=1.0218
Seleele            | score=1.0076
Shigura            | score=1.0073
Kinawa             | score=1.0109
Mayomok            | score=0.9746
Kamihak            | score=1.0403
Latine             | score=1.0219
Minodor            | score=1.0406
Romiati            | score=1.0077
Shinome            | score=1.0067
Nabai              | score=0.9636
Moko               | score=0.9712
Sorona             | score=1.0218
Nagaki             | score=1.0217
Yuranag            | score=1.0074
Takamiy            | score=1.0066
Kiru               | score=0.9714
Murikak            | score=1.0404
Mitokiz            | score=1.0406
Naibel             | score=0.9890
Morisel            | score=1.0401
Yuden              | score=0.9637
Akama              | score=0.9958
Teiru              | score=0.9636
Minanam            | score=1.0401
Kuroyam            | score=0.9743
Kyurako            | score=1.0076
Olatsuk            | score=1.0062
Ryouka             | score=0.9286
Taria              | score=0.9630
Ciar               | score=0.9384
Mamira             | score=1.0217
Selwy              | score=0.9526
Manasak            | score=1.0402
Sary               | score=0.9714
Miruna             | score=1.0219
Reiya              | score=0.8437
Hojina             | score=1.0220
Bassai             | score=0.9559
Lance              | score=0.9635
Kebrie             | score=0.9560
Samor              | score=0.9965
Xelia              | score=0.9523
Suoka              | score=0.9637
Foratts            | score=0.8437
Jalde              | score=0.9637
Fumi               | score=0.9710
Aima               | score=0.9113
İshamak            | score=0.9933
Leyb               | score=0.9384
Colener            | score=1.0406
Horakak            | score=1.0405
Maline             | score=1.0217
Miranih            | score=1.0405
Hamano             | score=1.0217
Chona              | score=0.9637
Tsubada            | score=1.0075
Bakina             | score=1.0217
Shimets            | score=0.9199
Chirako            | score=1.0071
Shipaka            | score=1.0077
İsaka              | score=0.9884
Neiba              | score=0.9637
Yokichi            | score=0.9744
Kparin             | score=0.9618
Akise              | score=0.9965
Lome               | score=0.9713
Yatakat            | score=1.0072
Tharu              | score=0.9629
Akayaba            | score=0.9205
Hiyakuh            | score=0.9745
Ctore              | score=0.9636
Lhearel            | score=0.9747
Shidoo             | score=0.9558
Vevina             | score=1.0220
Elinora            | score=1.0405
Matsuki            | score=1.0056
Miliall            | score=0.9745
Kamanwa            | score=0.9964
Hinleca            | score=1.0077
Estelia            | score=0.9744
Sazano             | score=1.0219
Avay               | score=0.9114
Alumia             | score=0.9619
Wangori            | score=0.9967
Maeluan            | score=0.9747
Lande              | score=0.9634
Miriany            | score=1.0075
Saruha             | score=1.0218
Patel              | score=0.9967
Hirisaw            | score=1.0292
Saishik            | score=0.9736
Eril               | score=0.9713
İsao               | score=0.9037
Ganlina            | score=1.0076
Kigura             | score=1.0218
Arissaw            | score=0.9964
Hine               | score=0.9713
Hokara             | score=1.0219
Tyuuka             | score=0.9289
Sahirak            | score=1.0401
Manjou             | score=0.9557
Kabakar            | score=1.0406
Won                | score=0.9351
Veshea             | score=0.9560
Kujiu              | score=0.9637
Mitaki             | score=1.0217
Landia             | score=0.9559
Nokona             | score=1.0218
Anako              | score=0.9961
Kakaku             | score=1.0218
Yuberu             | score=0.9618
Urdos              | score=0.9637
Zetsi              | score=0.9637
Kurokot            | score=1.0403
Arzan              | score=0.9637
İrla               | score=0.9307
Shizuro            | score=1.0073
Kakiyak            | score=0.9745
Sagayu             | score=0.9289
Gonazan            | score=1.0406
Tazuchu            | score=1.0076
Sariss             | score=0.9616
Jiber              | score=0.9966
Malissa            | score=1.0075
Lindre             | score=0.7965
İliende            | score=0.9604
Tasaka             | score=1.0210
Sishino            | score=1.0060
Misakah            | score=1.0398
Lunes              | score=0.9966
Maranmi            | score=1.0075
Wonro              | score=0.9527
Gelily             | score=1.0218
Seyon              | score=0.9307
Takamas            | score=1.0398
Shinoza            | score=1.0068
Karukam            | score=1.0404
Mibaye             | score=0.9290
Jiromer            | score=1.0405
Shyurom            | score=0.9747
Soriyam            | score=0.9743
Natsube            | score=1.0065
Lilindr            | score=0.7882
Ssyn               | score=0.9114
Lumi               | score=0.9713
Eanya              | score=0.8766
Atsuku             | score=0.9869
Hura               | score=0.9713
Siasara            | score=1.0075
Paria              | score=0.9631
Ries               | score=0.9383
Kinetta            | score=1.0075
Sakitar            | score=1.0401
Saring             | score=0.9617
Eli                | score=0.9461
Kayevho            | score=0.9417
Phouna             | score=0.9560
Kuterus            | score=1.0407
Yushino            | score=0.9735
Tankano            | score=1.0075
Kilqy              | score=0.9527
Takasum            | score=1.0400
Rebon              | score=0.9967
Raeica             | score=0.9290
Tsukaha            | score=1.0068
Zirvis             | score=0.9620
Chikuha            | score=1.0074
Kinona             | score=1.0217
Masima             | score=1.0220
Selynea            | score=1.0076
Mikoham            | score=1.0405
Horame             | score=1.0219
Kakiwam            | score=1.0296
Kamino             | score=1.0213
Lihva              | score=0.9637
Xara               | score=0.9604
Paily              | score=0.9637
Hahitol            | score=1.0406
Tosawa             | score=1.0106
Khibami            | score=1.0075
Serinoh            | score=1.0405
Takayo             | score=0.9284
Messia             | score=0.9559
Fulim              | score=0.9967
Daclabe            | score=1.0077
Zaa                | score=0.9131
Erna               | score=0.9384
Mikuro             | score=1.0214
Huctalb            | score=0.9207
Hamuri             | score=1.0218
Kukakum            | score=1.0405
Shouhan            | score=0.9746
Shimiya            | score=0.9403
Kitatsu            | score=1.0065
İchiga             | score=0.9745
Mawae              | score=0.9527
Tiess              | score=0.9307
Lumina             | score=1.0214
Namarum            | score=1.0403
Astesco            | score=0.9746
Miigan             | score=0.9889
Karia              | score=0.9629
Jasarie            | score=1.0074
Bidao              | score=0.9637
Yadana             | score=0.9619
Tsukomi            | score=1.0068
Maguni             | score=1.0220
Konada             | score=1.0219
Lainra             | score=0.9559
Bellcia            | score=0.8645
Heberie            | score=1.0075
Lep                | score=0.9461
Chiato             | score=0.9560
Setsush            | score=0.9202
Eorinda            | score=0.9746
İnomi              | score=0.9888
İrimi              | score=0.9889
Shekhe             | score=0.9290
Taranay            | score=1.0074
Crelty             | score=0.9290
Sharmor            | score=0.9206
Thain              | score=0.9307
Marakuy            | score=1.0074
Kishiku            | score=1.0065
Ama                | score=0.9461
Terishi            | score=1.0068
Lintous            | score=0.9747
Birgund            | score=0.9207
Osakura            | score=1.0395
Liria              | score=0.9636
Miride             | score=1.0218
İshori             | score=0.9747
Erbien             | score=0.9560
Natrose            | score=1.0075
Mustra             | score=0.8519
Zendous            | score=0.9745
Ville              | score=0.9635
Alvain             | score=0.9560
Kochiki            | score=1.0072
Yakohar            | score=1.0075
Sylica             | score=1.0219
Ubutsou            | score=0.9747
Mima               | score=0.9714
Kurisac            | score=1.0404
Komta              | score=0.9637
Ustere             | score=0.9888
Hoeta              | score=0.9637
Sanari             | score=1.0217
Fuina              | score=0.9636
Maresto            | score=1.0076
Saichim            | score=0.9743
Himana             | score=1.0212
Dabalin            | score=1.0406
Boalthi            | score=0.8647
Miyura             | score=0.9289
Kotoku             | score=1.0217
Neort              | score=0.9307
Apaphia            | score=0.9746
Tanami             | score=1.0213
Karaino            | score=1.0076
Vilyne             | score=1.0219
Sumurak            | score=1.0402
Olyra              | score=0.9965
Shirama            | score=1.0065
Tigina             | score=1.0219
Mikunay            | score=1.0076
Sugera             | score=1.0220
Bega               | score=0.9714
Narana             | score=1.0216
Shertud            | score=0.9206
Kirikak            | score=1.0402
Asari              | score=0.9966
Pano               | score=0.9714
Luxmia             | score=0.9450
Murono             | score=1.0219
My                 | score=0.9208
Oukaki             | score=0.9616
Konihak            | score=1.0407
Onayaki            | score=0.9206
Hoabash            | score=0.9746
Barane             | score=1.0217
Marisha            | score=1.0070
Matishi            | score=1.0069
Sutoo              | score=0.9637
Valinia            | score=1.0075
Hatsuki            | score=1.0058
Hama               | score=0.9711
Mizuyo             | score=0.9287
Karunet            | score=1.0405
Hira               | score=0.9696
Nayu               | score=0.8784
İlyna              | score=0.9890
Wallond            | score=0.9096
Xevele             | score=1.0110
Sariya             | score=0.9287
Farelo             | score=1.0220
Ochiyag            | score=0.9415
Matsure            | score=1.0064
Miriet             | score=0.9887
Aritis             | score=1.0219
Kelyra             | score=1.0218
Mebussa            | score=1.0077
Nannami            | score=1.0071
Orihama            | score=1.0405
İkumi              | score=0.9889
Quaichi            | score=0.9304
İrizaki            | score=1.0261
Makuno             | score=1.0219
Kishisu            | score=1.0067
Emalia             | score=0.9618
Sonra              | score=0.9637
Ousa               | score=0.9112
Furubus            | score=1.0406
Villene            | score=1.0074
Tsukimo            | score=1.0067
Cilla              | score=0.9635
Hizuki             | score=1.0213
Ashima             | score=0.9865
Youzami            | score=0.9207
Urikach            | score=1.0075
Chishie            | score=0.9407
Yaru               | score=0.9114
Hetato             | score=1.0220
Valala             | score=1.0220
Stargra            | score=0.8106
Pinara             | score=1.0217
Mirihat            | score=1.0406
İorich             | score=1.0077
Midara             | score=1.0219
Banizal            | score=1.0407
Laroya             | score=0.9289
Lama               | score=0.9714
Chitada            | score=1.0074
Milite             | score=1.0219
Furuki             | score=1.0218
Natsuka            | score=1.0058
Baria              | score=0.9631
Snarihr            | score=0.9206
Lorande            | score=1.0073
Eirou              | score=0.8765
Yorino             | score=0.9618
Belyssa            | score=1.0077
Alder              | score=0.9637
İgawa              | score=0.9776
Yagahar            | score=1.0075
Shacho             | score=0.9289
Leimen             | score=0.9890
Rihara             | score=1.0208
Marusue            | score=1.0074
Miraie             | score=0.9288
Minazuw            | score=1.0294
Miwan              | score=0.9857
Leri               | score=0.9713
Cla                | score=0.9131
